candidate_key,candidate_category,candidate_name,discovery_source_references,verification_source_references,verification_status,proposition_or_relationship_candidate,selection_status,rationale,architecture_mapping
P37R_PERSON_TESLA,PERSON,Nikola Tesla,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; WCE_OFFICIAL_DIRECTORY_1893","BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,participatesIn Tesla personal electrical exhibit,SELECTED,"Discovery candidate independently verified in contemporary technical and electrical-industry sources; no individual Directory listing is assumed.",PERSON plus source-backed participatesIn
P37R_PERSON_WESTINGHOUSE,PERSON,George Westinghouse,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; BARRETT_ELECTRICITY_COLUMBIAN_1894",BARRETT_ELECTRICITY_COLUMBIAN_1894,REQUIRES_PAGE_VERIFICATION,participatesIn Westinghouse electrical exhibit,EXCLUDED,"He emerged from review, but the accessible locator did not page-confirm personal participation separately from the company exhibit.",SourceIdentity retained without canonical mapping
P37R_PERSON_EDISON,PERSON,Thomas A. Edison,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; WCE_OFFICIAL_DIRECTORY_1893",,UNRESOLVED_IDENTITY_CONTEXT,Thomas Edison associated with General Electric exhibit,EXCLUDED,"Available locator review did not distinguish the person from Edison-named apparatus and the General Electric company exhibit.",SourceIdentity retained without canonical mapping
P37R_PERSON_FERRIS,PERSON,George Washington Gale Ferris Jr.,WORLDS_FAIR_CHICAGO_1893_PEOPLE,,DISCOVERED_NOT_VERIFIED,participatesIn Ferris Wheel exhibit,EXCLUDED,"Discovered but outside the bounded electrical-building corpus.",Documented exclusion
P37R_PERSON_BURNHAM,PERSON,Daniel Burnham,WORLDS_FAIR_CHICAGO_1893_PEOPLE,WCE_OFFICIAL_DIRECTORY_1893,ALREADY_REPRESENTED_PHASE37,participatesIn exposition dedication,EXCLUDED,"Already represented by accepted Phase 37 and not duplicated in the additive expansion.",Documented exclusion
P37R_ORG_WESTINGHOUSE,ORGANIZATION,Westinghouse Electric and Manufacturing Company,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,participatesIn Westinghouse electrical exhibit,SELECTED,"Listed electrical exhibitor with independently described apparatus.",ORGANIZATION plus source-backed participatesIn
P37R_ORG_GENERAL_ELECTRIC,ORGANIZATION,General Electric Company,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,participatesIn General Electric exhibit,SELECTED,"Listed electrical exhibitor with contemporary technical description.",ORGANIZATION plus source-backed participatesIn
P37R_ORG_WESTERN_ELECTRIC,ORGANIZATION,Western Electric Company,WCE_OFFICIAL_DIRECTORY_1893,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,participatesIn Western Electric exhibit,SELECTED,"Listed electrical exhibitor with contemporary technical description.",ORGANIZATION plus source-backed participatesIn
P37R_ORG_THOMSON_HOUSTON,ORGANIZATION,Thomson-Houston Electric Company,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",,UNRESOLVED_CORPORATE_IDENTITY,associated with General Electric Company,EXCLUDED,"The bounded review did not justify reconciling the historical company identity with General Electric.",Documented reconciliation gap
P37R_EVENT_ELECTRICAL_EXHIBITION,EVENT,Electrical exhibition at the World's Columbian Exposition,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894","WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,occursAt Electricity Building,SELECTED,"Provides the bounded event context shared by the selected electrical exhibits.",OTHER event plus occursAt
P37R_EVENT_OPENING_DAY,EVENT,Opening Day,WCE_OFFICIAL_DIRECTORY_1893,WCE_OFFICIAL_DIRECTORY_1893,ALREADY_REPRESENTED_PHASE37,precedes electrical exhibition,EXCLUDED,"Already represented in Phase 37; no new chronology is needed.",Documented exclusion
P37R_EVENT_TESLA_LECTURE,EVENT,Tesla lecture or scheduled demonstration,"WORLDS_FAIR_CHICAGO_1893_PEOPLE; BARRETT_ELECTRICITY_COLUMBIAN_1894",,DISCOVERED_NOT_VERIFIED,occursAt Electricity Building,EXCLUDED,"The accessible locator review did not establish a bounded occurrence distinct from the exhibit.",Documented verification gap
P37R_EXHIBIT_TESLA,EXHIBIT,Tesla personal electrical exhibit,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894","WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,occursAt Electricity Building,SELECTED,"Directory listing and contemporary electrical accounts support a distinct exhibit.",OTHER event plus occursAt
P37R_EXHIBIT_WESTINGHOUSE,EXHIBIT,Westinghouse electrical exhibit,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894","WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,occursAt Electricity Building,SELECTED,"Directory listing and contemporary electrical accounts support the company exhibit.",OTHER event plus occursAt
P37R_EXHIBIT_GENERAL_ELECTRIC,EXHIBIT,General Electric exhibit,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894","WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,occursAt Electricity Building,SELECTED,"Directory listing and contemporary technical account support the company exhibit.",OTHER event plus occursAt
P37R_EXHIBIT_WESTERN_ELECTRIC,EXHIBIT,Western Electric exhibit,"WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894","WCE_OFFICIAL_DIRECTORY_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",VERIFIED_MULTI_SOURCE,occursAt Electricity Building,SELECTED,"Directory listing and contemporary technical account support the company exhibit.",OTHER event plus occursAt
P37R_EXHIBIT_EDISON_TOWER,EXHIBIT,Edison incandescent-lamp tower,"BANCROFT_BOOK_OF_THE_FAIR_1893; BARRETT_ELECTRICITY_COLUMBIAN_1894",,DISCOVERED_NOT_VERIFIED,occursAt Electricity Building,EXCLUDED,"The scan needed to establish the exact exhibit identity and operator was unavailable.",Documented verification gap
P37R_TECH_POLYPHASE,TECHNOLOGY,Polyphase alternating-current system,"BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893","BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,participatesIn Westinghouse electrical exhibit,SELECTED,"Both contemporary electrical sources describe the apparatus in the selected exhibit.",CONCEPT plus source-backed participatesIn
P37R_TECH_INDUCTION_MOTOR,TECHNOLOGY,Alternating-current induction motors,BARRETT_ELECTRICITY_COLUMBIAN_1894,"BARRETT_ELECTRICITY_COLUMBIAN_1894; ELECTRICAL_INDUSTRIES_WCE_1893",VERIFIED_MULTI_SOURCE,participatesIn Tesla personal electrical exhibit,SELECTED,"Contemporary electrical sources locate the apparatus within Tesla's exhibit.",OBJECT plus source-backed participatesIn
