candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,exclusion_reason,review_notes,proposed_mapping_decision
CAND_MAHALALEL,PERSON,Mahalalel,Genesis 5:12; Genesis 5:15,"Genesis 5:12 states that Kenan fathered Mahalalel; Genesis 5:15 states that Mahalalel fathered Jared.",kenan fatherOf mahalalel; mahalalel fatherOf jared,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Only the explicit begetting statements are modeled. Lifespan totals in Genesis 5:13-14 are not modeled.",Create entity mahalalel and an evidence-backed ACTIVE EntitySourceMapping from GEN_MT.
CAND_JARED,PERSON,Jared,Genesis 5:15; Genesis 5:18,"Genesis 5:15 states that Mahalalel fathered Jared; Genesis 5:18 states that Jared fathered Enoch.",mahalalel fatherOf jared; jared fatherOf enoch,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Only the explicit begetting statements are modeled. Lifespan totals in Genesis 5:16-20 are not modeled.",Create entity jared and an evidence-backed ACTIVE EntitySourceMapping from GEN_MT.
CAND_ENOCH_GEN5,PERSON,Enoch,Genesis 5:18; Genesis 5:21; Genesis 5:22; Genesis 5:23; Genesis 5:24,"Genesis 5:18 states that Jared fathered Enoch. Genesis 5:21 states that Enoch was 65 years old when he fathered Methuselah. Genesis 5:22 states that Enoch walked with God after he fathered Methuselah. Genesis 5:23 states that all the days of Enoch were 365 years. Genesis 5:24 states that Enoch walked with God and was not, for God took him.",jared fatherOf enoch; enoch fatherOf methuselah; enoch ageAtFatherhoodYears 65; enoch parentIn methuselah_begetting,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Genesis 5:24 is retained as a cited source observation only. No death event, translation event, chronology, location, or theological meaning is asserted.",Create entity enoch and evidence-backed ACTIVE EntitySourceMappings from GEN_MT.
CAND_METHUSELAH,PERSON,Methuselah,Genesis 5:21,Genesis 5:21 states that Enoch fathered Methuselah.,enoch fatherOf methuselah; methuselah childIn methuselah_begetting,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Genesis 5:25-27 material about Methuselah is outside the selected Phase 26 locator set and is NOT_YET_MODELED.",Create entity methuselah and an evidence-backed ACTIVE EntitySourceMapping from GEN_MT.
CAND_ELI,PERSON,Eli,1 Samuel 4:4,"1 Samuel 4:4 names Hophni and Phinehas as the two sons of Eli, who were there with the ark of the covenant of God.",eli fatherOf hophni; eli fatherOf phinehas_son_of_eli,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Eli's priesthood, age, and death in 1 Samuel 4:18 are outside the selected locator set and remain NOT_YET_MODELED.",Create entity eli and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_HOPHNI,PERSON,Hophni,1 Samuel 4:4; 1 Samuel 4:11,"1 Samuel 4:4 places Hophni, son of Eli, with the ark of the covenant of God. 1 Samuel 4:11 states that the ark of God was captured and that Hophni and Phinehas died.",hophni participatesIn ark_presence_1sam4; hophni subjectOf hophni_death_1sam4,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Cause of death, judgment, and any relation to Ark handling requirements are not asserted.",Create entity hophni and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_PHINEHAS_SON_OF_ELI,PERSON,Phinehas son of Eli,1 Samuel 4:4; 1 Samuel 4:11,"1 Samuel 4:4 places Phinehas, son of Eli, with the ark of the covenant of God. 1 Samuel 4:11 states that the ark of God was captured and that Hophni and Phinehas died.",phinehas_son_of_eli participatesIn ark_presence_1sam4; phinehas_son_of_eli subjectOf phinehas_son_of_eli_death_1sam4,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Kept deliberately distinct from Phinehas son of Eleazar; no identity reconciliation between similarly named persons is performed.",Create entity phinehas_son_of_eli and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_PHILISTINES,ORGANIZATION,Philistines,1 Samuel 5:1; 1 Samuel 5:2,"1 Samuel 5:1 states that the Philistines took the ark of God and brought it from Ebenezer to Ashdod. 1 Samuel 5:2 states that they brought it into the house of Dagon.",philistines participatesIn ark_transport_ashdod_1sam5; philistines participatesIn ark_placement_house_dagon_1sam5,EXPLICIT_IN_SELECTED_CORPUS,theographic-people (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"Modeled as a collective ORGANIZATION referent named by the source; no ethnography, territory, or motive is asserted.",Create entity philistines and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_EBENEZER,PLACE,Ebenezer,1 Samuel 5:1,1 Samuel 5:1 states that the ark was brought from Ebenezer to Ashdod.,ark_transport_ashdod_1sam5 occursAt ebenezer,EXPLICIT_IN_SELECTED_CORPUS,theographic-places (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"No geographic coordinates, modern identification, or route is asserted.",Create entity ebenezer and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
CAND_ASHDOD,PLACE,Ashdod,1 Samuel 5:1,1 Samuel 5:1 states that the ark was brought from Ebenezer to Ashdod.,ark_transport_ashdod_1sam5 occursAt ashdod,EXPLICIT_IN_SELECTED_CORPUS,theographic-places (discovery aid only),not used as authoritative,ACCEPTED_AND_INGESTED,,"No geographic coordinates or modern identification is asserted.",Create entity ashdod and an evidence-backed ACTIVE EntitySourceMapping from 1SA_MT.
