candidate_key,entity_type,candidate_name,source_references,explicit_source_description,proposed_proposition,source_status,external_source,external_identifier,review_status,coverage_classification,obstacle_classification,exclusion_reason,review_notes,proposed_mapping_decision,disposition
P33_PRINCIPE_OBSERVATION_EVENT,EVENT,Principe 1919 eclipse observation,"Dyson/Eddington/Davidson 1920, Principe observations","The 1920 report treats Principe as a distinct observing station and names Eddington and Cottingham in connection with it.",phase33_principe_observation_1919 occursAt phase33_principe_station,EXPLICIT_IN_SELECTED_CORPUS,"Dyson, Eddington, and Davidson 1920",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Represented as event location and participation only; no outcome or correctness verdict is asserted.",Create source identities and evidence-backed mappings for the station and its named participants.,INGESTED_DIRECT_SOURCE_CLAIM
P33_SOBRAL_OBSERVATION_EVENT,EVENT,Sobral 1919 eclipse observation,"Dyson/Eddington/Davidson 1920, Sobral observations","The 1920 report treats Sobral as a distinct observing station and names Davidson and Crommelin in connection with it.",phase33_sobral_observation_1919 occursAt phase33_sobral_station,EXPLICIT_IN_SELECTED_CORPUS,"Dyson, Eddington, and Davidson 1920",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Represented independently of the Principe station; no harmonization of the two observing traditions is asserted.",Create source identities and evidence-backed mappings for the station and its named participants.,INGESTED_DIRECT_SOURCE_CLAIM
P33_JOINT_MEETING_EVENT,EVENT,1919 joint eclipse meeting,"The Observatory 42 (1919), joint eclipse meeting report","The contemporary report describes a joint meeting of the Royal Society and the Royal Astronomical Society held at Burlington House.",phase33_joint_eclipse_meeting_1919 occursAt phase33_burlington_house,EXPLICIT_IN_SELECTED_CORPUS,"The Observatory 1919",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Venue and organizational participation only; the meeting is not represented as an endorsement or a verification event.",Represent venue and organizational participation with existing predicates.,INGESTED_DIRECT_SOURCE_CLAIM
P33_EXPEDITION_ORGANISATION,ORGANIZATION,Royal Society and Royal Astronomical Society expedition arrangements,"Dyson/Eddington/Davidson 1920, expedition arrangements; The Observatory 42 (1919)","Both represented sources describe the two societies as jointly responsible for the expedition arrangements and the later meeting.",phase33_royal_society participatesIn phase33_joint_eclipse_meeting_1919,EXPLICIT_IN_SELECTED_CORPUS,"Dyson/Eddington/Davidson 1920; The Observatory 1919",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Two independent sources back the same organizational participation claims; neither source is merged into the other.",Attach both source observations to the organizational participation claims.,INGESTED_DIRECT_SOURCE_CLAIM
P33_STATION_INSTRUMENTS,OBJECT,Station instruments,"Dyson/Eddington/Davidson 1920, Principe and Sobral instrumental equipment","The 1920 report describes an astrographic telescope at Principe and both an astrographic telescope and a four-inch lens at Sobral.",phase33_sobral_four_inch_lens locatedAt phase33_sobral_station,EXPLICIT_IN_SELECTED_CORPUS,"Dyson, Eddington, and Davidson 1920",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Instrument location only. No instrument quality, reliability, or preference relationship is represented.",Represent instrument location with the existing locatedAt predicate.,INGESTED_DIRECT_SOURCE_CLAIM
P33_OBSERVATION_BEFORE_MEETING,EVENT,Observation before announcement,"The Observatory 42 (1919), joint eclipse meeting report","The contemporary report places the announcement after the May 1919 observations.",phase33_principe_observation_1919 precedes phase33_joint_eclipse_meeting_1919,EXPLICIT_IN_SELECTED_CORPUS,"The Observatory 1919",,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Ordering only. No data-selection sequence or motive is inferred from the ordering.",Represent ordering with the existing precedes predicate.,INGESTED_DIRECT_SOURCE_CLAIM
P33_ECLIPSE_CALENDAR_DATE,EVENT,1919 eclipse calendar date,"Dyson/Eddington/Davidson 1920; The Observatory 42 (1919)","The represented sources give a calendar date for the eclipse observations.",phase33_principe_observation_1919 occursOnDate 1919-05-29,EXPLICIT_IN_SELECTED_CORPUS,"Dyson/Eddington/Davidson 1920; The Observatory 1919",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"No registered predicate relates an event to a calendar date; yearsFromCreation is a Genesis-scoped chronology predicate and is not applicable. No predicate is added for this phase.",Do not create a date proposition; keep ordering claims only.,EVIDENCE_ONLY_UNMODELED_RELATIONSHIP
P33_DEFLECTION_MEASUREMENTS,CONCEPT,Reported deflection measurements,"Dyson/Eddington/Davidson 1920, discussion of results","The 1920 report discusses measured deflection values against a predicted value and a smaller comparison value.",eclipse_result measuredDeflectionArcseconds value,EXPLICIT_IN_SELECTED_CORPUS,"Dyson, Eddington, and Davidson 1920",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"No registered predicate expresses a measured physical quantity for an observation event or a comparison to a theoretical prediction. Absence of the measurement is not a claim that no measurement was reported.",Keep as source observation only; do not create measurement or comparison propositions.,EVIDENCE_ONLY_UNMODELED_RELATIONSHIP
P33_SOBRAL_ASTROGRAPHIC_CONCERN,CONCEPT,Sobral astrographic plate handling,"Dyson/Eddington/Davidson 1920, discussion of the Sobral astrographic plates","The 1920 report distinguishes the Sobral astrographic plates from the Sobral four-inch result and reports an instrumental/focus concern.",sobral_astrographic_plates excludedBecause focus_issue,EXPLICIT_IN_SELECTED_CORPUS,"Dyson, Eddington, and Davidson 1920",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"Data weighting, exclusion rationale, and motive cannot be expressed by any registered predicate without interpretation. The concern is preserved as evidence that backs no claim.",Keep as evidence-only unresolved material; do not create a weighting or exclusion claim.,EVIDENCE_ONLY_UNMODELED_RELATIONSHIP
P33_MEETING_RESERVATIONS,CONCEPT,Contemporary reservations at the joint meeting,"The Observatory 42 (1919), discussion following the papers","The contemporary report records reservations and requests for further confirmation in the discussion.",joint_meeting_discussion qualifies expedition_report_conclusion,EXPLICIT_IN_SELECTED_CORPUS,"The Observatory 1919",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"A difference of emphasis between two independent sources is preserved as two independent observations. Difference is not contradiction, so no claim_relation is persisted.",Keep both source observations independent; do not persist a contradiction relation.,EVIDENCE_ONLY_UNMODELED_RELATIONSHIP
P33_ASTRONOMER_ROYAL_IDENTITY,PERSON,Astronomer Royal source identity,"The Observatory 42 (1919), joint eclipse meeting report","The contemporary report refers to the Astronomer Royal by office rather than by personal name.",phase33-observatory-astronomer-royal sameAs phase33_frank_dyson,EXPLICIT_IN_SELECTED_CORPUS,"The Observatory 1919",,CANDIDATE_REQUIRES_REVIEW,PARTIALLY_REPRESENTED,DATA_ENTRY,,"The source-specific identity is registered and a reconciliation candidate is recorded, but activating it would be an identity judgement the represented sources do not state. PROPOSED is not a denial of identity.",Retain as a PROPOSED entity_source_mapping with justification and supporting evidence.,UNRESOLVED_SOURCE_IDENTITY
P33_THEORY_CONFIRMATION,CONCEPT,General relativity confirmation question,"Dyson/Eddington/Davidson 1920; The Observatory 42 (1919)","The represented sources relate the results to a predicted deflection, but confirmation is an evaluative judgement.",eclipse_results confirmsTheory phase33_predicted_deflection_value,EXPLICIT_IN_SELECTED_CORPUS,"Dyson/Eddington/Davidson 1920; The Observatory 1919",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"No supportsTheory/confirmsTheory/refutesTheory predicate is introduced. Source-backed is not true, and theory evaluation is not a source observation.",Do not create a theory-confirmation claim; keep the comparison concepts proposition-free.,UNRESOLVED_RESEARCH_QUESTION
P33_EARMAN_GLYMOUR_REASSESSMENT,CONCEPT,Earman and Glymour reassessment,"Historical Studies in the Physical Sciences 11.1 (1980): 49-85","Earman and Glymour question simplified accounts of the expedition's decisiveness and data handling.",earman_glymour_1980 corrects standard_1919_eclipse_story,OUTSIDE_SELECTED_CORPUS,"Earman and Glymour 1980",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"Later scholarship is represented as an analytical observation with its own citation and backs no claim.",Keep as a scholarly-position candidate; never attach to claim_evidence.,SCHOLARLY_POSITION_CANDIDATE
P33_KENNEFICK_REASSESSMENT,CONCEPT,Kennefick reassessment,"Einstein Studies 12 (2007)","Kennefick resists simple accusations of theory-driven data rejection by the expedition.",kennefick_2007 contradicts earman_glymour_1980,OUTSIDE_SELECTED_CORPUS,"Kennefick 2007",,CANDIDATE_REQUIRES_REVIEW,NOT_YET_MODELED,REGISTRY_EXPRESSIVENESS,,"Scholarly difference is not automatically contradiction; no ranking, consensus, or resolution relation is persisted.",Keep as a scholarly-position candidate; never attach to claim_evidence.,SCHOLARLY_POSITION_CANDIDATE
