candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,exclusion_reason,review_notes,proposed_mapping_decision,inference_flag,source_key,dataset_key,source_record_key,source_location,subject_kind,subject_key,subject_type,subject_name,subject_description,predicate,object_kind,object_key,object_type,object_name,object_description,object_value_type,object_value,mapping_source_identity_key,mapping_display_name,mapping_justification
P28_GEN_5_18_JARED_FATHER_ENOCH,PERSON,Jared,Genesis 5:18,Genesis 5:18 states that Jared begot Enoch.,jared fatherOf enoch,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Jared.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_18,Genesis 5:18,ENTITY,jared,PERSON,Jared,The person named in Genesis 5:18 as the father of Enoch.,fatherOf,ENTITY,enoch,PERSON,Enoch,The person named in Genesis 5:18 as begotten by Jared. Deliberately not reconciled with the Enoch named in Genesis 4:17.,,,mt-p28-jared,Jared,Genesis 5:18 explicitly names this source referent.
P28_GEN_5_21_ENOCH_FATHER_METHUSELAH,PERSON,Enoch,Genesis 5:21,Genesis 5:21 states that Enoch begot Methuselah.,enoch fatherOf methuselah,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Enoch.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_21,Genesis 5:21,ENTITY,enoch,PERSON,Enoch,The person named in Genesis 5:18 as begotten by Jared. Deliberately not reconciled with the Enoch named in Genesis 4:17.,fatherOf,ENTITY,methuselah,PERSON,Methuselah,The person named in Genesis 5:21 as begotten by Enoch.,,,mt-p28-enoch-gen-5,Enoch,Genesis 5:21 explicitly names this source referent.
P28_GEN_5_21_ENOCH_AGE_AT_FATHERHOOD_65,PERSON,Enoch,Genesis 5:21,Genesis 5:21 states that Enoch lived 65 years and begot Methuselah.,enoch ageAtFatherhoodYears 65,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Enoch mapping created for Genesis 5:21.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_21,Genesis 5:21,ENTITY,enoch,PERSON,Enoch,,ageAtFatherhoodYears,VALUE,,,,,YEAR,65,,,
P28_GEN_5_18_ENOCH_CHILD_IN_BEGETTING,PERSON,Enoch,Genesis 5:18,Genesis 5:18 records the begetting of Enoch by Jared.,enoch childIn enoch_begetting,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Enoch mapping created for Genesis 5:21.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_18,Genesis 5:18,ENTITY,enoch,PERSON,Enoch,,childIn,EVENT,enoch_begetting,GENEALOGICAL,,The begetting of Enoch as recorded at Genesis 5:18.,,,,,
P28_GEN_5_21_ENOCH_PARENT_IN_BEGETTING,PERSON,Enoch,Genesis 5:21,Genesis 5:21 records the begetting of Methuselah by Enoch.,enoch parentIn methuselah_begetting,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Reuse the Enoch mapping created for Genesis 5:21.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_21,Genesis 5:21,ENTITY,enoch,PERSON,Enoch,,parentIn,EVENT,methuselah_begetting,GENEALOGICAL,,The begetting of Methuselah as recorded at Genesis 5:21.,,,,,
P28_GEN_5_21_METHUSELAH_CHILD_IN_BEGETTING,PERSON,Methuselah,Genesis 5:21,Genesis 5:21 records Methuselah as the child begotten by Enoch.,methuselah childIn methuselah_begetting,EXPLICIT_IN_SELECTED_CORPUS,,,PROPOSED_AUTO_ACCEPT,,,Create an evidence-backed GEN_MT source identity mapping for Methuselah.,NONE,GEN_MT,GEN_MT_REF,MT_GEN_5_21,Genesis 5:21,ENTITY,methuselah,PERSON,Methuselah,The person named in Genesis 5:21 as begotten by Enoch.,childIn,EVENT,methuselah_begetting,GENEALOGICAL,,The begetting of Methuselah as recorded at Genesis 5:21.,,,mt-p28-methuselah,Methuselah,Genesis 5:21 explicitly names this source referent.
P28_GEN_5_23_ENOCH_AGE_AT_DEATH_365,PERSON,Enoch,Genesis 5:23,Genesis 5:23 states that all the days of Enoch were 365 years.,enoch ageAtDeathYears 365,EXPLICIT_IN_SELECTED_CORPUS,,,REQUIRES_REVIEW,,Genesis 5:23 gives a total of days and does not state a death. Recording it as ageAtDeathYears would assert a death the source does not assert.,No mapping decision pending review.,DEATH_INFERENCE,GEN_MT,GEN_MT_REF,MT_GEN_5_23,Genesis 5:23,ENTITY,enoch,PERSON,Enoch,,ageAtDeathYears,VALUE,,,,,YEAR,365,,,
P28_GEN_5_24_ENOCH_ASCENSION,CONCEPT,Enoch was not for God took him,Genesis 5:24,Genesis 5:24 states that Enoch walked with God and was not for God took him.,enoch participatesIn an ascension event,EXPLICIT_IN_SELECTED_CORPUS,,,EXCLUDED,Modeling this as an ascension event would add theological interpretation that no registered predicate or event type represents.,The observation stays cited evidence and is not a claim.,No mapping.,THEOLOGICAL_INFERENCE,GEN_MT,GEN_MT_REF,MT_GEN_5_24,Genesis 5:24,,,,,,,,,,,,,,,,
P28_GEN_4_17_ENOCH_SON_OF_CAIN,PERSON,Enoch son of Cain,Genesis 4:17,Genesis 4:17 names an Enoch begotten by Cain.,cain fatherOf enoch,EXPLICIT_IN_SELECTED_CORPUS,,,EXCLUDED,Attaching Genesis 4:17 to the Genesis 5 Enoch would merge two source referents that the source never equates.,A separate canonical entity for the Genesis 4:17 Enoch may be ingested later without any identity claim.,No mapping and no identity reconciliation.,IDENTITY_INFERENCE,GEN_MT,GEN_MT_REF,MT_GEN_4_17,Genesis 4:17,,,,,,,,,,,,,,,,
P28_EXT_ENOCH_AUTHORED_1_ENOCH,CONCEPT,Enoch authored 1 Enoch,,No selected Genesis source record states any authorship for Enoch.,enoch authored 1 Enoch,EXTERNAL_ONLY,Traditional attribution outside the declared source boundary,ext-attribution-1-enoch,EXCLUDED,Authorship and traditional attribution are external discovery metadata and never authoritative facts.,Absence here is not a claim that no attribution exists elsewhere.,No mapping.,EXTERNAL_ATTRIBUTION,,,,,,,,,,,,,,,,,,,,
