candidate_key,entity_type,candidate_name,biblical_references,explicit_textual_description,proposed_proposition,source_status,external_source,external_identifier,review_status,coverage_classification,obstacle_classification,exclusion_reason,review_notes,proposed_mapping_decision,disposition
P27_ADAM,PERSON,Adam,Genesis 5:3,"Genesis 5:3 names Adam in the accepted genealogy.",adam fatherOf seth,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_REUSED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Existing entity and claims are reused; no duplicate is created.",Reuse existing GEN_MT mapping.,REUSED_ACCEPTED_ENTITY
P27_NOAH,PERSON,Noah,Genesis 6:10,"Genesis 6:10 states that Noah fathered Shem, Ham, and Japheth.",noah fatherOf shem; noah fatherOf ham; noah fatherOf japheth,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_EXTENDED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Existing Noah entity is extended with three direct source claims.",Reuse existing entity; add no duplicate mapping.,REUSED_ACCEPTED_ENTITY
P27_ABRAHAM,PERSON,Abraham,Genesis 11:26; Genesis 12:5; Genesis 14:18; Genesis 15:18; Genesis 18:1; Genesis 20:1; Genesis 21:2; Genesis 22:2; Genesis 25:7,"Genesis explicitly places Abram/Abraham in the selected genealogical, journey, encounter, covenant, birth, offering, and death observations.",terah fatherOf abraham; abraham participates in selected events,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"The source's Abram/Abraham naming is retained in descriptions; no external identity is used.",Create entity and evidence-backed GEN_MT mapping.,INGESTED
P27_SARAH,PERSON,Sarah,Genesis 11:31; Genesis 18:1; Genesis 21:2; Genesis 23:1-2,"Genesis explicitly places Sarai/Sarah in journeys and an encounter and names her as Isaac's mother and as dying at 127 years.",sarah motherOf isaac; sarah ageAtDeathYears 127,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No motive or harmonized chronology is added.",Create entity and evidence-backed GEN_MT mapping.,INGESTED
P27_ISAAC,PERSON,Isaac,Genesis 21:2; Genesis 22:2; Genesis 24:67; Genesis 25:25-26; Genesis 26:6; Genesis 35:28-29,"Genesis names Isaac in birth, offering, encounter, genealogy, journey, and death observations.",abraham fatherOf isaac; isaac fatherOf esau; isaac fatherOf jacob,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"Offering completion and causation are not asserted.",Create entity and evidence-backed GEN_MT mapping.,INGESTED
P27_JACOB,PERSON,Jacob,Genesis 25:26; Genesis 28:19; Genesis 30:24; Genesis 33:18; Genesis 35:18; Genesis 46:6; Genesis 47:28; Genesis 49:33,"Genesis names Jacob in birth, dream, genealogy, journey, migration, age, and death observations.",isaac fatherOf jacob; jacob fatherOf joseph; jacob subjectOf jacob_death,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"The Israel renaming content is separately retained for review.",Create entity and evidence-backed GEN_MT mapping.,INGESTED
P27_JOSEPH,PERSON,Joseph,Genesis 30:24; Genesis 37:17; Genesis 37:28; Genesis 39:20; Genesis 40:12; Genesis 42:6; Genesis 45:1; Genesis 50:26,"Genesis explicitly names Joseph in birth, encounter, sale, imprisonment, interpretation, revelation, and death observations.",jacob fatherOf joseph; joseph subjectOf selected events,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No motive, providential causation, or sale-chain harmonization is asserted.",Create entity and evidence-backed GEN_MT mapping.,INGESTED
P27_EDEN,PLACE,Eden,Genesis 2:8,"Genesis 2:8 names Eden in relation to the planted garden.",eden_garden_planting occursAt eden,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No coordinates or modern identity are asserted.",Create PLACE and evidence-backed GEN_MT mapping.,INGESTED
P27_NOD,PLACE,Nod,Genesis 4:16,"Genesis 4:16 states that Cain dwelt in the land of Nod.",cain locatedAt nod,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No coordinates or modern identity are asserted.",Create PLACE and evidence-backed GEN_MT mapping.,INGESTED
P27_BABEL,PLACE,Babel,Genesis 11:9,"Genesis 11:9 names the city Babel.",babel_construction occursAt babel,EXPLICIT_IN_SELECTED_CORPUS,,,ACCEPTED_AND_INGESTED,DIRECTLY_REPRESENTED,DATA_ENTRY,,"No modern identity or causation claim is asserted.",Create PLACE and evidence-backed GEN_MT mapping.,INGESTED
