source_id,title,publisher,source_type,jurisdiction,publication_date,reporting_or_observation_period,canonical_url,authority_level,research_use,status,notes
PA-CORPUS-001,Pennsylvania 2025-2029 5-Year Child and Family Services Plan,Pennsylvania Department of Human Services / Office of Children Youth and Families,state_plan,Pennsylvania,2025-01-01,2025-2029,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/docs/publications/documents/child-youth-and-family-service-plan/5-year-child-and-family-service-plan-2025-2029.pdf,primary,"Define statewide goals, placement stability, permanency, reunification barriers, and planned interventions",selected,"Primary framing document; preserve data-quality and stakeholder-feedback qualifications."
PA-CORPUS-002,2026 Annual Progress and Services Report,Pennsylvania Department of Human Services / Office of Children Youth and Families,annual_progress_report,Pennsylvania,2026-01-01,2024-2025,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/docs/publications/documents/child-youth-and-family-service-plan/2026-annual-progress-services-report-apsr.pdf,primary,"Use as a post-period contextual and methodology reference; extract definitions and data-quality notes without expanding the MVP period",selected,"Published after the 2018-2025 observation window; not a core outcome year."
PA-CORPUS-003,2023 Annual Progress and Services Report,Pennsylvania Department of Human Services / Office of Children Youth and Families,annual_progress_report,Pennsylvania,2023-01-01,2021-2023,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/docs/publications/documents/child-youth-and-family-service-plan/2023-Pennsylvania-Annual-Progress-and-Services-Report.pdf,primary,"Capture placement-stability review findings, placement-move measures, reunification analysis, and PIP monitoring",selected,"Important baseline and qualitative/quantitative comparison source."
PA-CORPUS-004,Pennsylvania Round 3 Child and Family Services Review Final Report,Pennsylvania Department of Human Services / federal review partners,oversight_review,Pennsylvania,2017-01-01,2017,https://www.pa.gov/content/dam/copapwp-pagov/en/dhs/documents/docs/publications/documents/child-youth-and-family-service-plan/PA%20Round%203%20Child%20and%20Family%20Services%20Review%20Final%20Report.pdf,primary,"Provide pre-period baseline definitions and case-review findings for placement stability and permanency",selected,"Pre-2018 baseline; retain as historical context, not an MVP outcome year."
PA-CORPUS-005,Child Abuse Reports archive,Pennsylvania Department of Human Services,report_index,Pennsylvania,2025-01-01,2018-2024,https://www.pa.gov/agencies/dhs/resources/data-reports/child-abuse-reports,primary,"Locate annual statewide reports and related county-level child-welfare context",selected,"Inventory individual annual reports after link and version review."
PA-CORPUS-006,2024 Annual Child Protective Services Report,Pennsylvania Department of Human Services,annual_report,Pennsylvania,2025-08-26,2024,https://www.pa.gov/agencies/dhs/newsroom/2024-annual-child-protective-services-report,primary,"Contextualize county-administered/state-supervised operations and annual child-welfare reporting",candidate,"Relevant system context; confirm whether the full report contains placement/reunification measures before extraction."
PA-CORPUS-007,Child Youth and Family Service Plan landing page,Pennsylvania Department of Human Services / Office of Children Youth and Families,official_index,Pennsylvania,2026-01-01,2018-2026,https://www.pa.gov/agencies/dhs/departments-offices/ocyf-info/child-youth-family-service-plan,primary,"Provide canonical links to current and historical plans and explain program authority",selected,"Use as navigation metadata, not as a substitute for the underlying reports."
PA-CORPUS-008,CPS Laws,Pennsylvania Department of Human Services,legal_resource_index,Pennsylvania,2026-01-01,ongoing,https://www.pa.gov/agencies/dhs/resources/keep-kids-safe/about-keep-kids-safe/cps-laws,primary,"Identify Pennsylvania and federal legal authorities governing permanency, reasonable efforts, and placement",selected,"Follow linked statutes and regulations into individually versioned legal sources."
PA-CORPUS-009,Family First,Pennsylvania Department of Human Services,policy_program_page,Pennsylvania,2026-01-01,2018-2025,https://www.pa.gov/agencies/dhs/resources/keep-kids-safe/family-first,primary,"Represent implementation timing and policy context for prevention, kinship, and congregate-care changes",selected,"Record July 1 2020 opt-in and October 2021 implementation dates as separate propositions."
PA-CORPUS-010,Education Stability for Children in Foster Care,Pennsylvania Department of Human Services,policy_guidance,Pennsylvania,2026-01-01,2018-2025,https://www.pa.gov/agencies/dhs/resources/early-learning-child-care/education-stability-child-welfare-services,primary,"Evaluate education stability as an optional secondary dimension related to placement continuity",candidate,"Include only if the MVP approves education stability as a secondary dimension."
